MagStimVis,Control
347.7,147.9
730.3,-466.7
-477.9,-71.8
443.4,-159.4
283,101.3
-197.1,109.8
60.9,107.9
290.1,-119.2
1245.3,-188.7
1006.5,-185.8
-209.6,240.2
1084.8,-558.8
403.1,-73
170.3,68
399.9,-204.5
128.4,129.1
152.3,-32.9
628.7,-288.8
604.9,35.8
607.3,-91
387.2,-132.8
-167.5,-221.8
400.7,6.3
670.2,-556.8
333.3,-129.4
494.4,-172.3
403.5,-281
99.4,180.9
275.7,-228.6
-43.5,147.8
451.2,276.3
-149.7,-58.1
-126.6,70.2
-50,177
-680.2,-35.7
613.5,147.9
284.9,-384.5
-33.9,316
593.4,-303.9
-316.3,-551.7
158.8,396.9
117.7,-30.3
283.2,120.7
281.3,-119
-66.4,-313.1
180.1,-918.9
140.3,173.1
374.2,-96.4
511.7,-70.1
516.4,107.9
-66,-430.8
211.8,-227.1
-169.5,326.9
-139.8,164.7
186.9,-390
641.4,-662.2
-38.3,-180.4
298.6,51.4
122.3,266.4
518.8,15.9
-132.6,-343.1
198.5,78.6
352,-357.9
513.8,-295.5
644.8,-204.8
214.3,-374.7
-251.4,-91.8
-30.2,-277.5
-124.4,-96.1
882.8,-148.3
7.2,-132.8
409.8,-160.4
132.1,352.3
451.3,168.4
-36.8,5.6
-225,-444.8
-230.9,-491.7
333.1,-591.8
136.6,757.3
131.1,275.2
607.9,64.1
275,-299.4
247.3,-350.2
657.6,149.9
-48.5,450.2
394.6,-511.7
435.5,-144.5
117,-36.7
252.6,-599.8
-155.2,236.5
-149.9,-134.2
219.9,552.7
402.1,-127.2
952.2,109
-7.9,-349
244.2,-196.3
164.6,-356.8
-381.7,104.1
59.4,372.5
-340.9,-187
437,117
-73.2,-160.7
218.5,18.3
28.2,341.3
278.5,23.7
11.7,-317.9
333.6,-264.8
407.2,-61.9
694.3,-68.4
131.6,-267.4
-442.3,41.5
-58.9,362.1
588.8,-85.9
-127.6,-72.2
472.6,-661.7
225.6,-240.4
613,-423.1
-389.9,-125.8
130.6,143.4
-167.6,437.9
1047.4,519.1
432.5,-46.3
596,-106.3
-123.4,229.5
50.6,132.9
108.5,214.1
513.2,217.9
106.9,-448.8
396,147.7
-416.8,-38.8
84.5,-236.2
-54.2,-216.5
-276.6,366.5
338.9,-250.8
272.2,-376.9
198.8,51.6
-204.8,581.8
521.8,-4.3
292.3,79.2
100.7,-288.8
195.7,482.4
111.6,25.1
-327.7,144.7
104.6,-292.9
-56.5,240.3
-100.1,103.1
-152.4,-353.1
31.4,-0.1
-402.2,-144.8
473.6,20.4
342.5,-85.8
183,-67.9
178.7,-316.7
-46.7,-107.2
489.7,214.5
149.6,503.2
-22,-354.4
587.9,690
122.6,438.7
15.1,37.9
102.2,-100.7
-61.4,-218
-141.7,234
934.6,-216.8
677.6,-148.1
279.7,249
-182.2,116.9
-66.6,252.9
136.8,137.2
422.6,-130.1
-204.3,-163.5
-498.8,223.3
-238.8,-209.9
287.4,338.5
304.5,221.6
322.3,73.1
150.5,-10.8
243.2,96.1
48.4,1029.3
443.4,-45
-213,-471.3
323.3,553.5
-61.6,168.2
90.1,-203.1
352.1,760.8
495.7,150.8
-141,75
561.1,-241.4
383.8,-326.2
168.9,-533.8
131.3,-136.6
124.7,-322.7
99.5,179.4
195.7,-105.6
204.1,510.4
432.8,434.1
639.7,36.6
326.8,-95.3
127,328.3
373.5,-350.2
